Ocena: 9,75 | Data: 31.01.2023 18:59:06
Ocena: 10,50 | Data: 31.01.2023 18:59:17
Ocena: 50,00 | Data: 31.01.2023 18:59:20
Ocena: 50,50 | Data: 31.01.2023 18:59:27
Ocena: 30,50 | Data: 16.02.2023 17:18:08
Ocena: 40,00 | Data: 16.02.2023 17:18:09
Ocena: 50,00 | Data: 16.02.2023 17:18:11
Ocena: 20,00 | Data: 16.02.2023 17:18:12
Ocena: 1,00 | Data: 16.02.2023 17:18:13
Ocena: 1,50 | Data: 16.02.2023 17:18:15
Ocena: 29,75 | Data: 16.02.2023 17:18:18
Ocena: 0,75 | Data: 16.02.2023 17:18:21
Ocena: 29,75 | Data: 16.02.2023 17:18:25
Ocena: 0,50 | Data: 16.02.2023 17:18:45
